Step,Velocity²
840,1.3435856903612927e-06
841,1.3467823274960641e-06
842,1.3499827611235474e-06
843,1.3531869912357606e-06
844,1.356395017824711e-06
845,1.359606840882397e-06
846,1.3628224604008082e-06
847,1.3660418763719235e-06
848,1.369265088787714e-06
849,1.37249209764014e-06
850,1.375722902921153e-06
851,1.3789575046226953e-06
852,1.3821959027366993e-06
853,1.3854380972550883e-06
854,1.3886840881697766e-06
855,1.3919338754726684e-06
856,1.3951874591556588e-06
857,1.3984448392106337e-06
858,1.4017060156294693e-06
859,1.4049709884040325e-06
860,1.4082397575261805e-06
861,1.4115123229877617e-06
862,1.4147886847806156e-06
863,1.4180688428965705e-06
864,1.4213527973274469e-06
865,1.424640548065055e-06
866,1.427932095101197e-06
867,1.4312274384276633e-06
868,1.4345265780362372e-06
869,1.4378295139186913e-06
870,1.4411362460667899e-06
871,1.4444467744722865e-06
872,1.4477610991269264e-06
873,1.4510792200224446e-06
874,1.4544011371505675e-06
875,1.457726850503012e-06
876,1.4610563600714857e-06
877,1.4643896658476856e-06
878,1.4677267678233005e-06
879,1.47106766599001e-06
880,1.4744123603394836e-06
881,1.4777608508633815e-06
882,1.481113137553355e-06
883,1.4844692204010454e-06
884,1.4878290993980851e-06
885,1.4911927745360974e-06
886,1.4945602458066946e-06
887,1.4979315132014818e-06
888,1.5013065767120532e-06
889,1.5046854363299942e-06
890,1.508068092046881e-06
891,1.5114545438542798e-06
892,1.514844791743748e-06
893,1.5182388357068328e-06
894,1.5216366757350731e-06
895,1.525038311819998e-06
896,1.5284437439531268e-06
897,1.5318529721259699e-06
898,1.535265996330028e-06
899,1.538682816556793e-06
900,1.5421034327977466e-06
901,1.5455278450443614e-06
902,1.5489560532881016e-06
903,1.5523880575204202e-06
904,1.555823857732762e-06
905,1.5592634539165626e-06
906,1.5627068460632475e-06
907,1.5661540341642332e-06
908,1.569605018210927e-06
909,1.5730597981947264e-06
910,1.5765183741070195e-06
911,1.5799807459391855e-06
912,1.583446913682594e-06
913,1.586916877328605e-06
914,1.5903906368685698e-06
915,1.593868192293829e-06
916,1.5973495435957155e-06
917,1.6008346907655518e-06
918,1.6043236337946504e-06
919,1.6078163726743163e-06
920,1.6113129073958435e-06
921,1.6148132379505175e-06
922,1.6183173643296135e-06
923,1.6218252865243986e-06
924,1.6253370045261298e-06
925,1.6288525183260544e-06
926,1.6323718279154112e-06
927,1.6358949332854292e-06
928,1.6394218344273272e-06
929,1.6429525313323159e-06
930,1.6464870239915963e-06
931,1.65002531239636e-06
932,1.6535673965377887e-06
933,1.657113276407055e-06
934,1.6606629519953226e-06
935,1.6642164232937454e-06
936,1.667773690293468e-06
937,1.6713347529856256e-06
938,1.6748996113613443e-06
939,1.6784682654117405e-06
940,1.682040715127921e-06
941,1.6856169605009841e-06
942,1.689197001522018e-06
943,1.6927808381821016e-06
944,1.6963684704723049e-06
